[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NW,SE
Curve Pt X,3,,,,,,
Curve Pt Y,3,,,,,,
Curve Pt Z,3,,,,,,
Link Is Hidden,3,false,false,false,false,,
Street Name Is Hidden,3,false,false,false,false,,
Up ID,4,3,,,,,
Lanes,4,1,,,,,
Name,4,6th Ave S,,,,,
Distance,4,54.6,,,,,
Speed,4,40,,,,,
Time,4,4.9,,,,,
Grade,4,0,,,,,
Median,4,0.0,,,,,
Offset,4,0.0,,,,,
TWLTL,4,0,,,,,
Crosswalk Width,4,4.9,,,,,
Mandatory Distance,4,60.0,,,,,
Mandatory Distance2,4,333.3,,,,,
Positioning Distance,4,222.2,,,,,
Positioning Distance2,4,444.4,,,,,
Curve Pt X,4,,,,,,
Curve Pt Y,4,,,,,,
Curve Pt Z,4,,,,,,
Link Is Hidden,4,false,,,,,
Street Name Is Hidden,4,false,,,,,
Up ID,5,,3,,,,
Lanes,5,,0,,,,
Name,5,,,,,,
Distance,5,,58.2,,,,
Speed,5,,40,,,,
Time,5,,5.2,,,,
Grade,5,,0,,,,
Median,5,,0.0,,,,
Offset,5,,0.0,,,,
TWLTL,5,,0,,,,
Crosswalk Width,5,,4.9,,,,
Mandatory Distance,5,,60.0,,,,
Mandatory Distance2,5,,333.3,,,,
Positioning Distance,5,,222.2,,,,
Positioning Distance2,5,,444.4,,,,
Curve Pt X,5,,,,,,
Curve Pt Y,5,,,,,,
Curve Pt Z,5,,,,,,
Link Is Hidden,5,,false,,,,
Street Name Is Hidden,5,,false,,,,
Up ID,6,8,7,3,9,,
Lanes,6,0,1,3,2,,
Name,6,Maynard Ave S,Maynard Ave S,,,,
Distance,6,87.4,80.8,100.6,99.0,,
Speed,6,40,40,40,40,,
Time,6,7.9,7.3,9.1,8.9,,
Grade,6,0,0,0,0,,
Median,6,0.0,0.0,3.7,3.7,,
Offset,6,0.0,0.0,0.0,0.0,,
TWLTL,6,0,0,0,0,,
Crosswalk Width,6,4.9,4.9,4.9,4.9,,
Mandatory Distance,6,76.0,76.0,76.0,76.0,,
Mandatory Distance2,6,333.3,333.3,333.3,333.3,,
Positioning Distance,6,222.2,222.2,222.2,222.2,,
Positioning Distance2,6,444.4,444.4,444.4,444.4,,
Curve Pt X,6,,,,,,
Curve Pt Y,6,,,,,,
Curve Pt Z,6,,,,,,
Link Is Hidden,6,false,false,false,false,,
Street Name Is Hidden,6,false,false,false,false,,
Up ID,7,6,,,,,
Lanes,7,1,,,,,
Name,7,Maynard Ave S,,,,,
Distance,7,80.8,,,,,
Speed,7,40,,,,,
Time,7,7.3,,,,,
Grade,7,0,,,,,
Median,7,0.0,,,,,
Offset,7,0.0,,,,,
TWLTL,7,0,,,,,
Crosswalk Width,7,4.9,,,,,
Mandatory Distance,7,60.0,,,,,
Mandatory Distance2,7,333.3,,,,,
Positioning Distance,7,222.2,,,,,
Positioning Distance2,7,444.4,,,,,
Curve Pt X,7,,,,,,
Curve Pt Y,7,,,,,,
Curve Pt Z,7,,,,,,
Link Is Hidden,7,false,,,,,
Street Name Is Hidden,7,false,,,,,
Up ID,8,,6,,,,
Lanes,8,,*2,,,,
Name,8,,Maynard Ave S,,,,
Distance,8,,87.4,,,,
Speed,8,,40,,,,
Time,8,,7.9,,,,
Grade,8,,0,,,,
Median,8,,0.0,,,,
Offset,8,,0.0,,,,
TWLTL,8,,0,,,,
Crosswalk Width,8,,4.9,,,,
Mandatory Distance,8,,60.0,,,,
Mandatory Distance2,8,,333.3,,,,
Positioning Distance,8,,222.2,,,,
Positioning Distance2,8,,444.4,,,,
Curve Pt X,8,,,,,,
Curve Pt Y,8,,,,,,
Curve Pt Z,8,,,,,,
Link Is Hidden,8,,false,,,,
Street Name Is Hidden,8,,false,,,,
Up ID,9,11,10,6,12,,
Lanes,9,2,0,2,3,,
Name,9,7th Ave S,7th Ave S,,,,
Distance,9,83.8,85.0,99.0,98.2,,
Speed,9,40,40,40,40,,
Time,9,7.5,7.7,8.9,8.8,,
Grade,9,0,0,0,0,,
Median,9,0.0,0.0,0.0,0.0,,
Offset,9,0.0,0.0,0.0,0.0,,
TWLTL,9,0,0,0,0,,
Crosswalk Width,9,4.9,4.9,4.9,4.9,,
Mandatory Distance,9,76.0,76.0,76.0,76.0,,
Mandatory Distance2,9,333.3,333.3,333.3,333.3,,
Positioning Distance,9,222.2,222.2,222.2,222.2,,
Positioning Distance2,9,444.4,444.4,444.4,444.4,,
Curve Pt X,9,,,,,,
Curve Pt Y,9,,,,,,
Curve Pt Z,9,,,,,,
Link Is Hidden,9,false,false,false,false,,
Street Name Is Hidden,9,false,false,false,false,,
Up ID,10,9,,,,,
Lanes,10,*2,,,,,
Name,10,7th Ave S,,,,,
Distance,10,85.0,,,,,
Speed,10,40,,,,,
Time,10,7.7,,,,,
Grade,10,0,,,,,
Median,10,0.0,,,,,
Offset,10,0.0,,,,,
TWLTL,10,0,,,,,
Crosswalk Width,10,4.9,,,,,
Mandatory Distance,10,60.0,,,,,
Mandatory Distance2,10,333.3,,,,,
Positioning Distance,10,222.2,,,,,
Positioning Distance2,10,444.4,,,,,
Curve Pt X,10,,,,,,
Curve Pt Y,10,,,,,,
Curve Pt Z,10,,,,,,
Link Is Hidden,10,false,,,,,
Street Name Is Hidden,10,false,,,,,
Up ID,11,,9,,,,
Lanes,11,,0,,,,
Name,11,,7th Ave S,,,,
Distance,11,,83.8,,,,
Speed,11,,40,,,,
Time,11,,7.5,,,,
Grade,11,,0,,,,
Median,11,,0.0,,,,
Offset,11,,0.0,,,,
TWLTL,11,,0,,,,
Crosswalk Width,11,,4.9,,,,
Mandatory Distance,11,,60.0,,,,
Mandatory Distance2,11,,333.3,,,,
Positioning Distance,11,,222.2,,,,
Positioning Distance2,11,,444.4,,,,
Curve Pt X,11,,,,,,
Curve Pt Y,11,,,,,,
Curve Pt Z,11,,,,,,
Link Is Hidden,11,,false,,,,
Street Name Is Hidden,11,,false,,,,
Up ID,12,14,13,9,16,,
Lanes,12,1,1,2,2,,
Name,12,8th Ave S,8th Ave S,,,,
Distance,12,88.4,101.5,98.2,73.1,,
Speed,12,40,40,40,40,,
Time,12,8.0,9.1,8.8,6.6,,
Grade,12,0,0,0,0,,
Median,12,3.7,3.7,0.0,0.0,,
Offset,12,0.0,0.0,0.0,0.0,,
TWLTL,12,0,0,0,0,,
Crosswalk Width,12,4.9,4.9,4.9,4.9,,
Mandatory Distance,12,76.0,76.0,76.0,76.0,,
Mandatory Distance2,12,333.3,333.3,333.3,333.3,,
Positioning Distance,12,222.2,222.2,222.2,222.2,,
Positioning Distance2,12,444.4,444.4,444.4,444.4,,
Curve Pt X,12,,,,,,
Curve Pt Y,12,,,,,,
Curve Pt Z,12,,,,,,
Link Is Hidden,12,false,false,false,false,,
Street Name Is Hidden,12,false,false,false,false,,
Up ID,13,12,,,,,
Lanes,13,0,,,,,
Name,13,8th Ave S,,,,,
Distance,13,101.5,,,,,
Speed,13,40,,,,,
Time,13,9.1,,,,,
Grade,13,0,,,,,
Median,13,0.0,,,,,
Offset,13,0.0,,,,,
TWLTL,13,0,,,,,
Crosswalk Width,13,4.9,,,,,
Mandatory Distance,13,60.0,,,,,
Mandatory Distance2,13,333.3,,,,,
Positioning Distance,13,222.2,,,,,
Positioning Distance2,13,444.4,,,,,
Curve Pt X,13,,,,,,
Curve Pt Y,13,,,,,,
Curve Pt Z,13,,,,,,
Link Is Hidden,13,false,,,,,
Street Name Is Hidden,13,false,,,,,
Up ID,14,,12,,,,
Lanes,14,,1,,,,
Name,14,,8th Ave S,,,,
Distance,14,,88.4,,,,
Speed,14,,40,,,,
Time,14,,8.0,,,,
Grade,14,,0,,,,
Median,14,,0.0,,,,
Offset,14,,0.0,,,,
TWLTL,14,,0,,,,
Crosswalk Width,14,,4.9,,,,
Mandatory Distance,14,,60.0,,,,
Mandatory Distance2,14,,333.3,,,,
Positioning Distance,14,,222.2,,,,
Positioning Distance2,14,,444.4,,,,
Curve Pt X,14,,,,,,
Curve Pt Y,14,,,,,,
Curve Pt Z,14,,,,,,
Link Is Hidden,14,,false,,,,
Street Name Is Hidden,14,,false,,,,
Up ID,15,16,,,,,
Lanes,15,0,,,,,
Name,15,I5 SB Off,,,,,
Distance,15,157.6,,,,,
Speed,15,40,,,,,
Time,15,14.2,,,,,
Grade,15,0,,,,,
Median,15,0.0,,,,,
Offset,15,0.0,,,,,
TWLTL,15,0,,,,,
Crosswalk Width,15,4.9,,,,,
Mandatory Distance,15,60.0,,,,,
Mandatory Distance2,15,333.3,,,,,
Positioning Distance,15,222.2,,,,,
Positioning Distance2,15,444.4,,,,,
Curve Pt X,15,,,,,,
Curve Pt Y,15,,,,,,
Curve Pt Z,15,,,,,,
Link Is Hidden,15,false,,,,,
Street Name Is Hidden,15,false,,,,,
Up ID,16,,15,12,24,,
Lanes,16,,2,2,2,,
Name,16,,I5 SB Off,,,,
Distance,16,,157.6,73.1,165.2,,
Speed,16,,56,40,40,,
Time,16,,10.1,6.6,14.9,,
Grade,16,,0,0,0,,
Median,16,,3.7,0.0,0.0,,
Offset,16,,0.0,0.0,0.0,,
TWLTL,16,,0,0,0,,
Crosswalk Width,16,,4.9,4.9,4.9,,
Mandatory Distance,16,,101.3,101.3,101.3,,
Mandatory Distance2,16,,466.8,333.3,333.3,,
Positioning Distance,16,,311.2,222.2,222.2,,
Positioning Distance2,16,,622.4,444.4,444.4,,
Curve Pt X,16,,,,,,
Curve Pt Y,16,,,,,,
Curve Pt Z,16,,,,,,
Link Is Hidden,16,,false,false,false,,
Street Name Is Hidden,16,,false,false,false,,
Up ID,17,25,,24,2,,
Lanes,17,0,,2,2,,
Name,17,,,,,,
Distance,17,25.3,,38.2,374.4,,
Speed,17,40,,40,40,,
Time,17,2.3,,3.4,33.7,,
Grade,17,0,,0,0,,
Median,17,0.0,,3.7,3.7,,
Offset,17,0.0,,0.0,0.0,,
TWLTL,17,0,,0,0,,
Crosswalk Width,17,4.9,,4.9,4.9,,
Mandatory Distance,17,145.6,,145.6,145.6,,
Mandatory Distance2,17,333.3,,333.3,333.3,,
Positioning Distance,17,222.2,,222.2,222.2,,
Positioning Distance2,17,444.4,,444.4,444.4,,
Curve Pt X,17,,,,,,
Curve Pt Y,17,,,,,,
Curve Pt Z,17,,,,,,
Link Is Hidden,17,false,,false,false,,
Street Name Is Hidden,17,false,,false,false,,
Up ID,18,,,,,,25
Lanes,18,,,,,,*1
Name,18,,,,,,
Distance,18,,,,,,55.9
Speed,18,,,,,,40
Time,18,,,,,,5.0
Grade,18,,,,,,0
Median,18,,,,,,0.0
Offset,18,,,,,,0.0
TWLTL,18,,,,,,0
Crosswalk Width,18,,,,,,4.9
Mandatory Distance,18,,,,,,60.0
Mandatory Distance2,18,,,,,,333.3
Positioning Distance,18,,,,,,222.2
Positioning Distance2,18,,,,,,444.4
Curve Pt X,18,,,,,,
Curve Pt Y,18,,,,,,
Curve Pt Z,18,,,,,,
Link Is Hidden,18,,,,,,false
Street Name Is Hidden,18,,,,,,false
Up ID,19,24,,,,,
Lanes,19,0,,,,,
Name,19,,,,,,
Distance,19,125.3,,,,,
Speed,19,40,,,,,
Time,19,11.3,,,,,
Grade,19,0,,,,,
Median,19,0.0,,,,,
Offset,19,0.0,,,,,
TWLTL,19,0,,,,,
Crosswalk Width,19,4.9,,,,,
Mandatory Distance,19,60.0,,,,,
Mandatory Distance2,19,333.3,,,,,
Positioning Distance,19,222.2,,,,,
Positioning Distance2,19,444.4,,,,,
Curve Pt X,19,,,,,,
Curve Pt Y,19,,,,,,
Curve Pt Z,19,,,,,,
Link Is Hidden,19,false,,,,,
Street Name Is Hidden,19,false,,,,,
Up ID,20,21,,,,,
Lanes,20,0,,,,,
Name,20,,,,,,
Distance,20,158.3,,,,,
Speed,20,40,,,,,
Time,20,14.2,,,,,
Grade,20,0,,,,,
Median,20,0.0,,,,,
Offset,20,0.0,,,,,
TWLTL,20,0,,,,,
Crosswalk Width,20,4.9,,,,,
Mandatory Distance,20,60.0,,,,,
Mandatory Distance2,20,333.3,,,,,
Positioning Distance,20,222.2,,,,,
Positioning Distance2,20,444.4,,,,,
Curve Pt X,20,,,,,,
Curve Pt Y,20,,,,,,
Curve Pt Z,20,,,,,,
Link Is Hidden,20,false,,,,,
Street Name Is Hidden,20,false,,,,,
Up ID,21,22,20,,,,
Lanes,21,0,0,,,,
Name,21,,,,,,
Distance,21,61.1,158.3,,,,
Speed,21,40,40,,,,
Time,21,5.5,14.2,,,,
Grade,21,0,0,,,,
Median,21,0.0,0.0,,,,
Offset,21,0.0,0.0,,,,
TWLTL,21,0,0,,,,
Crosswalk Width,21,4.9,4.9,,,,
Mandatory Distance,21,30.0,30.0,,,,
Mandatory Distance2,21,333.3,333.3,,,,
Positioning Distance,21,222.2,222.2,,,,
Positioning Distance2,21,444.4,444.4,,,,
Curve Pt X,21,,,,,,
Curve Pt Y,21,,,,,,
Curve Pt Z,21,,,,,,
Link Is Hidden,21,false,false,,,,
Street Name Is Hidden,21,false,false,,,,
Up ID,22,,21,,,,
Lanes,22,,0,,,,
Name,22,,,,,,
Distance,22,,61.1,,,,
Speed,22,,40,,,,
Time,22,,5.5,,,,
Grade,22,,0,,,,
Median,22,,0.0,,,,
Offset,22,,0.0,,,,
TWLTL,22,,0,,,,
Crosswalk Width,22,,4.9,,,,
Mandatory Distance,22,,60.0,,,,
Mandatory Distance2,22,,333.3,,,,
Positioning Distance,22,,222.2,,,,
Positioning Distance2,22,,444.4,,,,
Curve Pt X,22,,,,,,
Curve Pt Y,22,,,,,,
Curve Pt Z,22,,,,,,
Link Is Hidden,22,,false,,,,
Street Name Is Hidden,22,,false,,,,
Up ID,23,,24,,,,
Lanes,23,,0,,,,
Name,23,,I5 NB Off,,,,
Distance,23,,107.8,,,,
Speed,23,,40,,,,
Time,23,,9.7,,,,
Grade,23,,0,,,,
Median,23,,3.7,,,,
Offset,23,,0.0,,,,
TWLTL,23,,0,,,,
Crosswalk Width,23,,4.9,,,,
Mandatory Distance,23,,60.0,,,,
Mandatory Distance2,23,,333.3,,,,
Positioning Distance,23,,222.2,,,,
Positioning Distance2,23,,444.4,,,,
Curve Pt X,23,,,,,,
Curve Pt Y,23,,,,,,
Curve Pt Z,23,,,,,,
Link Is Hidden,23,,false,,,,
Street Name Is Hidden,23,,false,,,,
Up ID,24,23,19,16,17,25,
Lanes,24,2,1,3,2,0,
Name,24,I5 NB Off,,,,I5 NB On,
Distance,24,107.8,125.3,165.2,38.2,48.2,
Speed,24,40,40,40,40,40,
Time,24,9.7,11.3,14.9,3.4,4.3,
Grade,24,0,0,0,0,0,
Median,24,3.7,3.7,0.0,0.0,0.0,
Offset,24,0.0,0.0,0.0,0.0,0.0,
TWLTL,24,0,0,0,0,0,
Crosswalk Width,24,4.9,4.9,4.9,4.9,4.9,
Mandatory Distance,24,145.6,145.6,145.6,145.6,145.6,
Mandatory Distance2,24,333.3,333.3,333.3,333.3,333.3,
Positioning Distance,24,222.2,222.2,222.2,222.2,222.2,
Positioning Distance2,24,444.4,444.4,444.4,444.4,444.4,
Curve Pt X,24,,,,,,
Curve Pt Y,24,,,,,,
Curve Pt Z,24,,,,,,
Link Is Hidden,24,false,false,false,false,false,
Street Name Is Hidden,24,false,false,false,false,false,
Up ID,25,,17,,,18,24
Lanes,25,,1,,,0,1
Name,25,,,,,,I5 NB On
Distance,25,,25.3,,,55.9,48.2
Speed,25,,40,,,40,40
Time,25,,2.3,,,5.0,4.3
Grade,25,,0,,,0,0
Median,25,,3.7,,,0.0,0.0
Offset,25,,0.0,,,0.0,0.0
TWLTL,25,,0,,,0,0
Crosswalk Width,25,,4.9,,,4.9,4.9
Mandatory Distance,25,,60.0,,,60.0,60.0
Mandatory Distance2,25,,333.3,,,333.3,333.3
Positioning Distance,25,,222.2,,,222.2,222.2
Positioning Distance2,25,,444.4,,,444.4,444.4
Curve Pt X,25,,,,,,
Curve Pt Y,25,,,,,,
Curve Pt Z,25,,,,,,
Link Is Hidden,25,,false,,,false,false
Street Name Is Hidden,25,,false,,,false,false

[Phases]
Phasing Data
RECORDNAME,INTID,D1,D2,D3,D4,D5,D6,D7,D8,D9,D11,D12,D15,D16
BRP,3,111,112,211,212,121,122,221,222,311,411,412,421,422
MinGreen,3,,7,,7,,,,,,,,,
MaxGreen,3,,25.5,,25.5,,,,,,,,,
VehExt,3,,0.2,,2,,,,,,,,,
TimeBeforeReduce,3,,0,,0,,,,,,,,,
TimeToReduce,3,,0,,0,,,,,,,,,
MinGap,3,,0.2,,2,,,,,,,,,
Yellow,3,,3.5,,3.5,,,,,,,,,
AllRed,3,,1,,1,,,,,,,,,
Recall,3,,3,,2,,,,,,,,,
Walk,3,,7,,7,,,,,,,,,
DontWalk,3,,8,,12,,,,,,,,,
PedCalls,3,,0,,0,,,,,,,,,
MinSplit,3,,21,,25,,,,,,,,,
DualEntry,3,,1,,1,,,,,,,,,
InhibitMax,3,,0,,0,,,,,,,,,
Start,3,,56,,26,,,,,,,,,
End,3,,26,,56,,,,,,,,,
Yield,3,,21.5,,51.5,,,,,,,,,
Yield170,3,,13.5,,39.5,,,,,,,,,
LocalStart,3,,0,,30,,,,,,,,,
LocalYield,3,,25.5,,55.5,,,,,,,,,
LocalYield170,3,,17.5,,43.5,,,,,,,,,
ActGreen,3,,32,,19,,,,,,,,,
BRP,6,111,112,211,212,121,122,221,222,311,411,412,421,422
MinGreen,6,5,7,,7,5,7,,,,,,,
MaxGreen,6,8.5,17.5,,21.5,6.5,19.5,,,,,,,
VehExt,6,3,0.2,,2,2,0.2,,,,,,,
TimeBeforeReduce,6,0,0,,0,0,0,,,,,,,
TimeToReduce,6,0,0,,0,0,0,,,,,,,
MinGap,6,3,0.2,,2,2,0.2,,,,,,,
Yellow,6,3.5,3.5,,3.5,3.5,3.5,,,,,,,
AllRed,6,0,1,,1,0,1,,,,,,,
Recall,6,0,3,,2,0,3,,,,,,,
Walk,6,,7,,7,,7,,,,,,,
DontWalk,6,,8,,13,,5,,,,,,,
PedCalls,6,,0,,0,,0,,,,,,,
MinSplit,6,10,21,,26,10,18,,,,,,,
DualEntry,6,0,1,,0,0,1,,,,,,,
InhibitMax,6,0,0,,0,0,0,,,,,,,
Start,6,40,52,,14,40,50,,,,,,,
End,6,52,14,,40,50,14,,,,,,,
Yield,6,48.5,9.5,,35.5,46.5,9.5,,,,,,,
Yield170,6,48.5,1.5,,22.5,46.5,4.5,,,,,,,
LocalStart,6,48,0,,22,48,58,,,,,,,
LocalYield,6,56.5,17.5,,43.5,54.5,17.5,,,,,,,
LocalYield170,6,56.5,9.5,,30.5,54.5,12.5,,,,,,,
ActGreen,6,8.1,19.4,,20,2.2,25.3,,,,,,,
BRP,9,111,211,212,121,231,,,,,411,412,421,422
MinGreen,9,7,7,5,7,7,,,,,,,,
MaxGreen,9,21.5,19.5,5.5,21.5,29.5,,,,,,,,
VehExt,9,3,3,3,3,3,,,,,,,,
TimeBeforeReduce,9,0,0,0,0,0,,,,,,,,
TimeToReduce,9,0,0,0,0,0,,,,,,,,
MinGap,9,3,3,3,3,3,,,,,,,,
Yellow,9,3.5,3.5,3.5,3.5,3.5,,,,,,,,
AllRed,9,1,1,1,1,1,,,,,,,,
Recall,9,3,3,0,3,0,,,,,,,,
Walk,9,7,7,,7,,,,,,,,,
DontWalk,9,13,12,,7,,,,,,,,,
PedCalls,9,0,0,,0,,,,,,,,,
MinSplit,9,26,23.5,9.5,20,13,,,,,,,,
DualEntry,9,1,0,0,1,1,,,,,,,,
InhibitMax,9,0,0,0,0,0,,,,,,,,
Start,9,54,20,44,54,20,,,,,,,,
End,9,20,44,54,20,54,,,,,,,,
Yield,9,15.5,39.5,49.5,15.5,49.5,,,,,,,,
Yield170,9,2.5,27.5,49.5,8.5,49.5,,,,,,,,
LocalStart,9,0,26,50,0,26,,,,,,,,
LocalYield,9,21.5,45.5,55.5,21.5,55.5,,,,,,,,
LocalYield170,9,8.5,33.5,55.5,14.5,55.5,,,,,,,,
ActGreen,9,21.5,19.5,5.5,21.5,29.5,,,,,,,,
BRP,12,111,112,211,212,121,122,221,222,311,411,412,421,422
MinGreen,12,,7,,7,,7,,5,,,,,
MaxGreen,12,,28.5,,22.5,,28.5,,18,,,,,
VehExt,12,,3,,3,,3,,3,,,,,
TimeBeforeReduce,12,,0,,0,,0,,0,,,,,
TimeToReduce,12,,0,,0,,0,,0,,,,,
MinGap,12,,3,,3,,3,,3,,,,,
Yellow,12,,3,,3,,3,,3,,,,,
AllRed,12,,1.5,,1.5,,1.5,,1.5,,,,,
Recall,12,,3,,0,,3,,0,,,,,
Walk,12,,7,,7,,7,,7,,,,,
DontWalk,12,,9,,15,,7,,11,,,,,
PedCalls,12,,0,,0,,0,,0,,,,,
MinSplit,12,,22,,27,,20,,22.5,,,,,
DualEntry,12,,1,,0,,1,,1,,,,,
InhibitMax,12,,0,,0,,0,,1,,,,,
Start,12,,41,,14,,41,,14,,,,,
End,12,,14,,41,,14,,41,,,,,
Yield,12,,9.5,,36.5,,9.5,,36.5,,,,,
Yield170,12,,0.5,,36.5,,2.5,,36.5,,,,,
LocalStart,12,,0,,33,,0,,33,,,,,
LocalYield,12,,28.5,,55.5,,28.5,,55.5,,,,,
LocalYield170,12,,19.5,,55.5,,21.5,,55.5,,,,,
ActGreen,12,,47.5,,3.5,,47.5,,3.5,,,,,
BRP,16,111,112,211,212,113,114,222,221,311,411,412,421,422
MinGreen,16,,7,,7,,,7,7,,,,,
MaxGreen,16,,26,,43.5,,,9.5,31,,,,,
VehExt,16,,2,,2,,,2,0.2,,,,,
TimeBeforeReduce,16,,0,,0,,,0,0,,,,,
TimeToReduce,16,,0,,0,,,0,0,,,,,
MinGap,16,,2,,2,,,2,0.2,,,,,
Yellow,16,,3,,3.5,,,3.5,3,,,,,
AllRed,16,,2,,2,,,2,0,,,,,
Recall,16,,3,,0,,,0,0,,,,,
Walk,16,,15,,,,,,7,,,,,
DontWalk,16,,9,,,,,,24,,,,,
PedCalls,16,,0,,,,,,0,,,,,
MinSplit,16,,30,,14,,,14,34,,,,,
DualEntry,16,,0,,1,,,1,0,,,,,
InhibitMax,16,,0,,0,,,0,0,,,,,
Start,16,,0,,31,,,65,31,,,,,
End,16,,31,,0,,,0,65,,,,,
Yield,16,,26,,74.5,,,74.5,62,,,,,
Yield170,16,,17,,74.5,,,74.5,62,,,,,
LocalStart,16,,0,,31,,,65,31,,,,,
LocalYield,16,,26,,74.5,,,74.5,62,,,,,
LocalYield170,16,,17,,74.5,,,74.5,62,,,,,
ActGreen,16,,57.6,,11.9,,,11.9,0,,,,,
BRP,17,111,112,211,212,122,121,221,222,311,411,412,421,422
MinGreen,17,,7,,7,5,7,,,7,,,,
MaxGreen,17,,55.5,,15,30.5,20.5,,,30.5,,,,
VehExt,17,,5,,2,2,2,,,5,,,,
TimeBeforeReduce,17,,0,,0,0,0,,,0,,,,
TimeToReduce,17,,0,,0,0,0,,,0,,,,
MinGap,17,,5,,2,2,2,,,5,,,,
Yellow,17,,3.5,,4,3.5,3.5,,,3.5,,,,
AllRed,17,,1,,1,1,1,,,1,,,,
Recall,17,,0,,0,0,0,,,0,,,,
Walk,17,,,,,,,,,,,,,
DontWalk,17,,,,,,,,,,,,,
PedCalls,17,,,,,,,,,,,,,
MinSplit,17,,13,,13,11,13,,,13,,,,
DualEntry,17,,0,,0,0,0,,,0,,,,
InhibitMax,17,,0,,0,0,0,,,0,,,,
Start,17,,0,,60,25,0,,,80,,,,
End,17,,60,,80,60,25,,,0,,,,
Yield,17,,55.5,,75,55.5,20.5,,,110.5,,,,
Yield170,17,,55.5,,75,55.5,20.5,,,110.5,,,,
LocalStart,17,,0,,60,25,0,,,80,,,,
LocalYield,17,,55.5,,75,55.5,20.5,,,110.5,,,,
LocalYield170,17,,55.5,,75,55.5,20.5,,,110.5,,,,
ActGreen,17,,42.9,,15.6,42.9,0,,,23.7,,,,
BRP,25,111,112,211,212,121,122,221,222,311,411,412,421,422
MinGreen,25,,,,5,,5,,,,,,,
MaxGreen,25,,,,18,,18,,,,,,,
VehExt,25,,,,3,,3,,,,,,,
TimeBeforeReduce,25,,,,0,,0,,,,,,,
TimeToReduce,25,,,,0,,0,,,,,,,
MinGap,25,,,,3,,3,,,,,,,
Yellow,25,,,,3,,3,,,,,,,
AllRed,25,,,,1.5,,1.5,,,,,,,
Recall,25,,,,3,,3,,,,,,,
Walk,25,,,,7,,7,,,,,,,
DontWalk,25,,,,11,,11,,,,,,,
PedCalls,25,,,,0,,0,,,,,,,
MinSplit,25,,,,22.5,,22.5,,,,,,,
DualEntry,25,,,,1,,1,,,,,,,
InhibitMax,25,,,,1,,1,,,,,,,
Start,25,,,,22.5,,0,,,,,,,
End,25,,,,0,,22.5,,,,,,,
Yield,25,,,,40.5,,18,,,,,,,
Yield170,25,,,,29.5,,7,,,,,,,
LocalStart,25,,,,22.5,,0,,,,,,,
LocalYield,25,,,,40.5,,18,,,,,,,
LocalYield170,25,,,,29.5,,7,,,,,,,
ActGreen,25,,,,18,,18,,,,,,,



[Timeplans]
Timing Plan Settings
RECORDNAME,INTID,DATA
Control Type,3,3
Cycle Length,3,60.0
Lock Timings,3,0
Referenced To,3,0
Reference Phase,3,2
Offset,3,56.0
Master,3,0
Yield,3,2
Node 0,3,3
Node 1,3,0
Control Type,6,3
Cycle Length,6,60.0
Lock Timings,6,0
Referenced To,6,0
Reference Phase,6,206
Offset,6,52.0
Master,6,0
Yield,6,2
Node 0,6,6
Node 1,6,0
Control Type,9,3
Cycle Length,9,60.0
Lock Timings,9,0
Referenced To,9,0
Reference Phase,9,104
Offset,9,54.0
Master,9,0
